episode,reward_mean,policy_loss,value_loss,entropy,avg_speed,avg_waiting,lr,entropy_coef,timestamp
127,0.177289,-0.000097,0.921257,1.365253,4.3702,4.5931,0.00005084,0.048746,2026-04-19T10:29:37.774831
128,0.169595,-0.000076,0.919287,1.370334,4.8972,2.6391,0.00005068,0.048736,2026-04-19T10:29:50.630219
129,0.159561,-0.000061,0.939618,1.363000,3.4480,6.1605,0.00005052,0.048726,2026-04-19T10:30:03.284100
130,0.171276,-0.000051,0.932458,1.371904,4.6570,2.7201,0.00005036,0.048717,2026-04-19T10:30:15.578951
131,0.142782,-0.000063,0.927243,1.367897,3.0785,9.9939,0.00005019,0.048707,2026-04-19T10:30:28.653327
132,0.017873,-0.000102,0.923192,1.372044,1.8241,57.4802,0.00005003,0.048697,2026-04-19T10:30:43.402847
133,0.180748,-0.000050,0.921792,1.373908,5.0502,2.2587,0.00004986,0.048687,2026-04-19T10:30:55.716636
134,0.172722,-0.000056,0.921601,1.373043,5.2481,2.3366,0.00004969,0.048678,2026-04-19T10:31:07.961753
135,0.144912,-0.000106,0.904374,1.362712,2.9771,11.3949,0.00004953,0.048668,2026-04-19T10:31:20.974020
136,-0.120595,-0.000072,0.915866,1.370652,0.3353,129.6468,0.00004936,0.048658,2026-04-19T10:31:38.471427
137,0.162390,-0.000055,0.956208,1.363542,3.5091,11.5718,0.00004919,0.048648,2026-04-19T10:31:50.998359
138,0.170045,-0.000139,0.924399,1.356049,3.9016,2.9633,0.00004902,0.048639,2026-04-19T10:32:03.589945
139,0.172203,-0.000091,0.926593,1.347564,3.7437,7.3758,0.00004885,0.048629,2026-04-19T10:32:16.082457
140,-0.095274,-0.000069,0.906351,1.354049,0.4084,121.6907,0.00004867,0.048619,2026-04-19T10:32:32.839465
141,0.158132,-0.000028,0.952061,1.333161,3.4778,5.3341,0.00004850,0.048610,2026-04-19T10:32:45.804729
142,-0.013880,-0.000143,0.920581,1.360297,1.5336,65.9709,0.00004833,0.048600,2026-04-19T10:33:00.255427
143,-0.113289,-0.000063,0.916583,1.367042,0.3647,118.9684,0.00004815,0.048590,2026-04-19T10:33:17.554059
144,0.168404,-0.000046,0.935336,1.362145,3.7348,4.5801,0.00004797,0.048580,2026-04-19T10:33:30.115156
145,0.128890,-0.000068,0.932599,1.356853,2.8988,16.9867,0.00004780,0.048571,2026-04-19T10:33:43.366011
146,0.165700,-0.000069,0.934806,1.348995,3.7766,4.8662,0.00004762,0.048561,2026-04-19T10:33:56.088643
147,-0.129293,-0.000042,0.917561,1.367226,0.3879,127.8717,0.00004744,0.048551,2026-04-19T10:34:12.908656
148,0.146087,-0.000038,0.935247,1.343794,3.0722,8.9107,0.00004726,0.048542,2026-04-19T10:34:25.926898
149,0.117629,-0.000068,0.886336,1.350960,2.6475,11.3999,0.00004708,0.048532,2026-04-19T10:34:39.489936
150,-0.130140,-0.000058,0.904927,1.358288,0.3283,129.7550,0.00004690,0.048522,2026-04-19T10:34:57.261494
151,0.071748,-0.000058,0.929118,1.347669,2.0453,36.0857,0.00004672,0.048512,2026-04-19T10:35:11.266320
152,-0.109364,-0.000048,0.905767,1.360466,0.4884,111.8905,0.00004653,0.048503,2026-04-19T10:35:28.044810
153,-0.082979,-0.000033,0.915311,1.359228,0.7885,101.4290,0.00004635,0.048493,2026-04-19T10:35:43.504732
154,-0.111962,-0.000059,0.922595,1.351673,0.3542,132.6980,0.00004617,0.048483,2026-04-19T10:36:00.578169
155,-0.120004,-0.000064,0.909447,1.348638,0.3819,132.7199,0.00004598,0.048474,2026-04-19T10:36:17.648996
156,0.184912,-0.000074,0.918403,1.328208,4.1742,3.8281,0.00004579,0.048464,2026-04-19T10:36:30.155075
157,0.137197,-0.000070,0.918345,1.310463,2.6940,13.7090,0.00004561,0.048454,2026-04-19T10:36:43.569685
158,-0.132527,-0.000066,0.892602,1.339846,0.3108,130.0032,0.00004542,0.048445,2026-04-19T10:37:00.758423
